,name,vicinity,rating,Users_ratings_total,lng,lat
34,Tianguis San Felipe Paca,"Av Villa de Ayala, Camino de la Unión ""A"" &, San Felipe de Jesús, Ciudad de México",4.5,2937,-99.0725051,19.4913651
35,"Tianguis ""Manuel González"".","Ex Hipódromo de Peralvillo, Mexico City",5.0,1,-99.1390516,19.4551683
36,Tianguis Eten,"Esq. Eten, Calz. Azcapotzalco La Villa, Lindavista, Ciudad de México",5.0,1,-99.1385339,19.4910276
37,Tianguis de Potrero!!!,"Av. Ing. Basiliso Romo Anguiano, Guadalupe Insurgentes, Ciudad de México",4.5,377,-99.13368940000001,19.473665
38,Tianguis De La Providencia,"Estado de Morelos 124-120, Providencia, Ciudad de México",4.4,76,-99.07080239999999,19.4835575
39,Tianguis Popular,"Cobre, Popular Rastro, Ciudad de México",5.0,1,-99.1156731,19.4522658
40,Mercado Popular (Tianguis Del Tenayo),"Calle Atzayacatl, El Tenayo Centro, Tlalnepantla de Baz",4.3,830,-99.1682333,19.5457715
41,Market on wheels,"Calle 18 2, Acueducto de Guadalupe, Ciudad de México",4.2,1930,-99.14929959999999,19.5249729
42,Tianguis de autos,"07264, Calle Luis Espinoza 478, Solidaridad Nacional, Ciudad de México",1.0,1,-99.15623,19.5338883
43,Market on wheels,"Calle Pisa, Hab Izcalli Piramide, Tlalnepantla de Baz",4.1,230,-99.1761887,19.5418934
44,TIANGUIS DELICIAS TLALPEXCO,"Delicias 9, Tlalpexco, Ciudad de México",0.0,0,-99.1252908,19.5473758
45,Tianguis de autos partes,"San Felipe, Malacates, Ciudad de México",0.0,0,-99.1328447,19.5743747
54,Tianguis on Wheels,"Playa Erizo, Santiago Sur, Ciudad de México",4.3,3321,-99.1251221,19.3858568
60,Tianguis sábado y domingo,"José María Iglesias 16, Tabacalera, Ciudad de México",4.0,3,-99.15485110000002,19.4387131
63,"TIANGUIS* ""LA LAGUNILLA""","06200, Calle Comonfort 32, Morelos, Ciudad de México",4.4,617,-99.1353205,19.443887
65,Tianguis,"Toledo 169-177, Álamos, Ciudad de México",4.6,12,-99.13914779999999,19.3956501
66,Tianguis de San juan,"Tianguis de San Juan, Av Texcoco, Juan Escutia, Ciudad de México",4.5,407,-99.0385994,19.3918308
67,Tianguis Comercial “El Salado”,"09180, Sentimiento de La Nación 615, Ermita Zaragoza, Ciudad de México",4.2,1308,-99.004632,19.3653143
68,Tianguis,"Sur 16 263, Agrícola Oriental, Ciudad de México",0.0,0,-99.07517589999999,19.3948353
69,"TIANGUIS* ""LAS TORRES RENOVACION","EJE 6 SUR, Av Luis Méndez, Renovación, Ciudad de México",4.2,4613,-99.0511988,19.3631409
70,Tianguis Domingos,"Amanecer Ranchero 3-7, Benito Juárez, Nezahualcóyotl",0.0,0,-99.02043809999999,19.4134046
71,Tianguis 257,"Ote. 257 10, Agrícola Oriental, Ciudad de México",5.0,3,-99.0616845,19.3984925
72,Tianguis 5,"Tianguis, Área Federal Central de Abastos, Ciudad de México",0.0,0,-99.0812088,19.3809273
73,Tianguis Del Sábado,"Lomas de Zaragoza, Mexico City",4.2,132,-98.9975788,19.3554363
74,Ropa cholera tianguis del domingo,"Av Dos Arbolitos 157, Benito Juárez, Nezahualcóyotl",5.0,1,-99.0111944,19.4070409
75,Tianguis Luis Méndez o Las Torres,"Calle 1, Renovación, Ciudad de México",4.1,6910,-99.046475,19.3621137
76,Tianguis Domingo,"Plaza Mayor 555, Dr Alfonso Ortiz Tirado, Ciudad de México",4.3,92,-99.07776009999999,19.387014
77,Ropa Cholera Tianguis Parque Del Pueblo,"57000, Calle Cama de Piedra 238, Benito Juárez, Nezahualcóyotl",4.4,11,-98.9999675,19.3961556
78,Tianguis,"Aeropuerto Int de La, Ciudad de México",0.0,0,-99.0739359,19.4223962
79,Tianguis Nocturno Las Torres renovación,"Área Federal Parque Cuitláhuac, Mexico City",5.0,1,-99.04847339999999,19.3631276
80,Tianguis calle texcoco-pantitlan,"Av. Texcoco MZ15 LT9, Agrícola Pantitlán, Ciudad de México",3.0,2,-99.06382490000001,19.4179239
81,Tianguis del sábado -Escondida,"Calle Escondida entre, Av. Carmelo Pérez, Villada, Nezahualcóyotl",0.0,0,-99.000441,19.3938912
82,Tianguis jueves,"Calle Niños Héroes Mz 29-Lt 3A, Lomas de Zaragoza, Ciudad de México",2.0,1,-98.9954357,19.3544889
83,Tianguis,"Av. 4a. Avenida 694, Benito Juárez, Nezahualcóyotl",0.0,0,-99.0117439,19.4116093
84,Tianguis dia martes pantitlan calle texcoco,"número 36, Calle 3esquina con calle Texcoco, Agrícola Pantitlán, Ciudad de México",4.5,2,-99.0639222,19.4179877
85,Tianguis Av texcoco,"Av Texcoco, Área Federal Parque Ecológico el Salado, Ciudad de México",4.0,70,-99.0015468,19.3730731
86,Tianguis Tecomitl,"Sur del Comercio 36, Jardines del Llano, San Juan Ixtayopan",3.9,1064,-98.994483,19.2324923
87,Tianguis,"Guanajuato 20, Peña Alta",3.6,14,-99.0050299,19.2303565
88,Tianguis De San Francisco Tecoxpa,"Av del Trabajo 89, San Francisco Tecoxpa, Ciudad de México",4.0,151,-99.0075184,19.1995304
105,mercado-tianguis Eje 10,"Av. Pedro Henríquez Ureña 197, 35C, Pedregal de Santo Domingo, Ciudad de México",4.3,1036,-99.16935559999999,19.3355658
107,Tianguis domingo doctores,"Calle Dr Erazo 169, Doctores, Ciudad de México",4.5,355,-99.1525029,19.4184749
108,Tianguis de los martes,"Andrés de La Concha, San José Insurgentes, Ciudad de México",0.0,0,-99.18758439999999,19.3686824
116,LA PACA DE LOS JUEVES tianguis,"Valle de Iguala 185-146, Valle de Aragon 3ra Secc, Ecatepec de Morelos",4.1,212,-99.0414091,19.5040214
118,Tianguis Del Sabado,"Independencia 2A, Santa Clara Coatitla, Ecatepec de Morelos",4.4,11,-99.0686714,19.5389878
120,Tianguis Teotihuacan,"Teotihuacan 72, Cd Azteca 1ra Secc, Ecatepec de Morelos",3.7,9,-99.0338969,19.5381081
121,tianguis,"Av Sta. Prisca Sur 235-237, San Agustin 3ra Secc A, Ecatepec de Morelos",4.5,13,-99.0365427,19.5292077
124,Tianguis La Laguna,"Av. Necaxa 24, La Laguna, Tlalnepantla de Baz",3.7,34,-99.0976969,19.5157135
125,Tianguis De Cobre,"Cobre 11, Popular Rastro, Ciudad de México",5.0,1,-99.128721,19.4549765
126,Tianguis los miércoles,"Santiago de Chile 38, San Pedro Zacatenco, Ciudad de México",4.9,7,-99.12360509999999,19.5078444
127,"Tianguis ""Calle 8a"".","Calle 8A, Calle 31 &, Jardines de Santa Clara, Ecatepec de Morelos",4.2,296,-99.042366,19.541609
128,"Tianguis ""Santa Rita"".","Teotihuacan 31, Indeco Santa Clara, Ecatepec de Morelos",5.0,1,-99.0354143,19.5350978
143,Tianguis De Los Miercoles Jardin Balbuena,"46 de Cecilio Robelo 25, Jardín Balbuena, Ciudad de México",4.3,708,-99.10226999999999,19.4208763
148,Tianguis de Comonfort,"Calle Comonfort 84, Lagunilla, Morelos, Ciudad de México",4.5,3816,-99.135165,19.4455266
151,"Tianguis de ""Chacharas"" Azcapotzalco","Calle Camino a Nextengo 73, Santa Apolonia, Ciudad de México",4.3,319,-99.190332,19.472999
153,Tianguis De La Progreso,"Progreso Nacional 99 A 228, Ampliación Progreso Nacional, Ciudad de México",4.4,1132,-99.1613809,19.5206498
155,tianguis vista hermosa,"Av Sta Monica, El Mirador, Tlalnepantla de Baz",4.3,13,-99.21961979999999,19.5160715
160,Tianguis Pinito,"Pinitos 11, Nextengo, Ciudad de México",0.0,0,-99.1877652,19.4717909
161,Tianguis El Rosario,"Av. de las Culturas 33, El Rosario, Ciudad de México",4.3,984,-99.20668789999999,19.5087146
163,Tianguis Juan de Dios Batiz,"Av Instituto Politécnico Nacional 2085, Lindavista, Ciudad de México",4.3,11,-99.1296692,19.5023899
166,"""Guhya Vidya"" Tianguis de la Raza","Vallejo, Mexico City",0.0,0,-99.1383694,19.4666584
168,Tianguis Rabaul,"Prol. Nueces, Unidad Habitacional, Cuitlahuac, Ciudad de México",4.7,6,-99.16960189999999,19.4727898
177,Tianguis Pensador Mexicano Martes,"Calle China, Pensador Mexicano, Ciudad de México",4.3,987,-99.0909203,19.4408955
182,"Tianguis de ""Tepito""","Calle Manuel Doblado 154, Morelos, Ciudad de México",4.4,5130,-99.1232982,19.4421302
206,Tianguis La Marina,"Calle Miguel Alemán 21, Marina Nacional, Tlalnepantla de Baz",3.4,11,-99.09345359999999,19.5160603
207,Tianguis ropa,"Av 507 180, San Juan de Aragón I Secc, Ciudad de México",0.0,0,-99.0934612,19.4635081
209,Flea market on Thursdays,"04460, Calz de la Virgen 185, Avante, Ciudad de México",4.3,389,-99.1346324,19.3287658
211,Tianguis de domingo,"Anillo Perif. 49, Coapa, Coapa Super 4, Ciudad de México",4.3,194,-99.1212539,19.2872066
212,Tianguis Las Torres,"09900 San Antonio, Av. José Clemente Orozco 170, San Antonio",4.2,961,-99.0790859,19.3046699
213,Tianguis Viernes,"Corola 22, El Reloj, Ciudad de México",4.6,40,-99.1420108,19.3179026
214,Mercado de chacharas,"Av. de las Torres MZ104 LT3, José López Portillo, Ciudad de México",4.1,3604,-99.08072589999999,19.3027266
215,Mercado Tianguis Sabatino Eje 10,"Av. Pedro Henríquez Ureña 437, Pedregal de Santo Domingo, Ciudad de México",4.3,560,-99.1613119,19.3351339
216,Tianguis del Sábado en El Centinela,"04400, Álvaro Gálvez y Fuentes 332, El Centinela, Ciudad de México",3.2,5,-99.1417553,19.3375105
217,Tianguis Plaza Triana,"Emilio Berliner 23-92, Fuego Nuevo, Ciudad de México",0.0,0,-99.10235999999999,19.3332183
218,Tianguis de ejido,"San Francisco 84, Culhuacan, Ciudad de México",4.5,2,-99.1181984,19.3382621
219,Tianguis del iman,"Av. del Iman 550, Pedregal de Carrasco, Ciudad de México",4.3,400,-99.1705427,19.3118486
220,Tianguis Cultural y Artesanal de Coyoacan,"Coyoacán, Mexico City",4.7,130,-99.1632668,19.3501756
221,Tianguis Carmen Serdán,"Av Carmen Serdán, Coapa, Carmen Serdán, Ciudad de México",4.0,1,-99.1089018,19.3180881
222,Tianguis La Educación,"Av 6 21, Educación, Ciudad de México",0.0,0,-99.13281429999999,19.3365181
