alcaldia,colonia,clave_colonia,total_200801,total_200802
XOCHIMILCO,NATIVITAS LA JOYA (AMPL),13-030,8,7
XOCHIMILCO,OLIVAR SANTA MARIA,13-031,10,10
XOCHIMILCO,SAN LUCAS XOCHIMANCA (PBLO),13-052,24,27
XOCHIMILCO,SANTA CECILIA TEPETLAPA (PBLO),13-058,6,6
XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),13-064,21,18
XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),13-066,29,26
XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),13-067,16,18
IZTACALCO,GABRIEL RAMOS MILLAN,06-010,6,NA
IZTACALCO,SANTA ANITA,06-032,NA,6
IZTACALCO,AGRICOLA ORIENTAL VII,06-046,11,12
IZTACALCO,PANTITLAN II,06-057,8,9
IZTACALCO,PANTITLAN III,06-058,9,9
IZTACALCO,PANTITLAN IV,06-059,8,8
TLAHUAC,JARDINES DEL LLANO-U.H. VILLA TLATEMPA,11-013,7,NA
TLAHUAC,LOS OLIVOS,11-024,6,NA
TLAHUAC,MIGUEL HIDALGO OTE,11-026,17,16
TLAHUAC,SANTIAGO ZAPOTITLAN (PBLO),11-042,11,8
AZCAPOTZALCO,LA RAZA,02-041,6,7
AZCAPOTZALCO,REYNOSA TAMAULIPAS,02-067,6,NA
AZCAPOTZALCO,SAN ANDRES (PBLO),02-072,8,6
AZCAPOTZALCO,SAN MARCOS (BARR),02-080,6,NA
AZCAPOTZALCO,SAN PEDRO XALPA (PBLO),02-085,6,7
AZCAPOTZALCO,SANTA BARBARA (PBLO),02-090,10,7
AZCAPOTZALCO,SANTO DOMINGO (PBLO),02-098,6,6
AZCAPOTZALCO,TLATILCO,02-104,6,NA
ALVARO OBREGON,ALFALFAR,10-008,10,9
ALVARO OBREGON,CORPUS CHRISTY,10-047,11,10
ALVARO OBREGON,HERON PROAL,10-085,10,NA
ALVARO OBREGON,JALALPA,10-088,6,8
ALVARO OBREGON,JARDINES DEL PEDREGAL,10-091,9,9
ALVARO OBREGON,LA MARTINICA,10-105,13,11
ALVARO OBREGON,MINAS DE CRISTO,10-156,NA,8
ALVARO OBREGON,OLIVAR DE LOS PADRES,10-163,9,6
ALVARO OBREGON,PRESIDENTES,10-177,8,7
ALVARO OBREGON,SANTA FE,10-198,NA,7
ALVARO OBREGON,TETELPAN,10-213,NA,6
ALVARO OBREGON,TIZAPAN_TIZAPAN SAN ANGEL,10-217,8,8
ALVARO OBREGON,TLACOYAQUE (AMPL),10-220,8,8
CUAUHTEMOC,SAN SIMON TOLNAHUAC,15-027,7,8
CUAUHTEMOC,SANTA MARIA LA RIBERA IV,15-078,9,10
IZTAPALAPA,APATLACO,07-009,6,6
